group_id,group_size,redundant_files,datasets,subsets,splits,labels,split_leakage,label_conflict,cross_dataset,files
34,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact180.png || datasets/raw/Cotton/bacterial_blight/bact249.png
35,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h301.jpg || datasets/raw/Cotton/healthy/h303.jpg
36,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl307.jpg || datasets/raw/Cotton/curl_virus/curl91.jpg
37,2,1,Banana,Augmented,raw,healthy,NO,NO,NO,datasets/raw/Banana/AugmentedSet/healthy/280_aug.jpeg || datasets/raw/Banana/AugmentedSet/healthy/281_aug.jpeg
38,2,1,Rice,Main,raw,Healthy Rice Leaf,NO,NO,NO,datasets/raw/Rice/Healthy Rice Leaf/Healthy_rice_leaf (6).jpg || datasets/raw/Rice/Healthy Rice Leaf/Healthy_rice_leaf (7).jpg
39,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact81.jpg || datasets/raw/Cotton/bacterial_blight/bact85.jpg
40,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/555.jpg || datasets/raw/Cotton/healthy/h484.jpg
41,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h447.jpg || datasets/raw/Cotton/healthy/h477.jpg
42,2,1,PlantVillage,Main,raw,Tomato_Late_blight,NO,NO,NO,datasets/raw/PlantVillage/Tomato_Late_blight/d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG || datasets/raw/PlantVillage/Tomato_Late_blight/d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG
43,2,1,Rice,Main,raw,Brown Spot,NO,NO,NO,datasets/raw/Rice/Brown Spot/IMG_20231018_143712 - Copy.jpg || datasets/raw/Rice/Brown Spot/IMG_20231018_143712.jpg
44,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/leaf-blight-7-13-16-225x300 - Copy.jpg || datasets/raw/Cotton/bacterial_blight/leaf-blight-7-13-16-225x300.jpg
45,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/20211011_170717 (Custom).jpg || datasets/raw/Mango/Anthracnose/20211011_170717 - Copy - Copy - Copy (Custom).jpg
46,2,1,Banana,Augmented,raw,cordana,NO,NO,NO,datasets/raw/Banana/AugmentedSet/cordana/20_aug.jpeg || datasets/raw/Banana/AugmentedSet/cordana/21_aug.jpeg
47,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/IMG_20211011_140557 (Custom).jpg || datasets/raw/Mango/Anthracnose/IMG_20211011_140557 - Copy (Custom).jpg
48,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl163.jpg || datasets/raw/Cotton/curl_virus/curl372.jpg
49,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl164.jpg || datasets/raw/Cotton/curl_virus/curl373.jpg
50,2,1,PlantDoc,Main,test|train,Corn Gray leaf spot|Corn leaf blight,YES,YES,NO,datasets/raw/PlantDoc/test/Corn leaf blight/Corn leaf blight (10).jpg || datasets/raw/PlantDoc/train/Corn Gray leaf spot/Corn Gray leaf spot (20).jpg
51,2,1,Banana,Augmented,raw,healthy,NO,NO,NO,datasets/raw/Banana/AugmentedSet/healthy/86_aug.jpeg || datasets/raw/Banana/AugmentedSet/healthy/90_aug.jpeg
52,2,1,PlantVillage,Main,raw,Tomato_healthy,NO,NO,NO,datasets/raw/PlantVillage/Tomato_healthy/37aad83b-7ff8-4b35-b3ed-fb8e0f54910b___GH_HL Leaf 342.1.JPG || datasets/raw/PlantVillage/Tomato_healthy/e786ac89-29fe-47e3-b49e-b9a9ee7edd9d___GH_HL Leaf 342.1.JPG
53,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/FOV4-leaf-symptoms-courtesy-UC-Davis_468x351.jpg || datasets/raw/Cotton/fussarium_wilt/done21.jpg
54,2,1,Banana,Original,raw,healthy|pestalotiopsis,NO,YES,NO,datasets/raw/Banana/OriginalSet/healthy/122.jpeg || datasets/raw/Banana/OriginalSet/pestalotiopsis/78.jpeg
55,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h279.jpg || datasets/raw/Cotton/healthy/h395.jpg
56,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done19.jpg || datasets/raw/Cotton/fussarium_wilt/fus175.jpg
57,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/P1010086jpg - Copy.jpg || datasets/raw/Cotton/bacterial_blight/P1010086jpg.jpg
58,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h350.jpg || datasets/raw/Cotton/healthy/h354.jpg
59,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h219.png || datasets/raw/Cotton/healthy/h220.png
60,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done17.jpg || datasets/raw/Cotton/fussarium_wilt/fus159.jpg
61,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl127.jpg || datasets/raw/Cotton/curl_virus/curl131.jpg
62,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h137.jpg || datasets/raw/Cotton/healthy/h140.jpg
63,2,1,Rice,Main,raw,Brown Spot,NO,NO,NO,datasets/raw/Rice/Brown Spot/Brown_spot (135).jpg || datasets/raw/Rice/Brown Spot/Brown_spot (136).jpg
64,2,1,Banana,Augmented,raw,cordana,NO,NO,NO,datasets/raw/Banana/AugmentedSet/cordana/128_aug.jpeg || datasets/raw/Banana/AugmentedSet/cordana/129_aug.jpeg
65,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done9.jpg || datasets/raw/Cotton/fussarium_wilt/fus72.jpg
66,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/20211011_170706 (Custom).jpg || datasets/raw/Mango/Anthracnose/20211011_170706 - Copy - Copy - Copy (Custom).jpg
67,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/25.jpeg || datasets/raw/Banana/OriginalSet/healthy/55.jpeg
68,2,1,PlantDoc,Main,train,Potato leaf early blight|Potato leaf late blight,NO,YES,NO,datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (14).jpg || datasets/raw/PlantDoc/train/Potato leaf late blight/Potato leaf late blight (11).jpg
69,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/105.jpeg || datasets/raw/Banana/OriginalSet/healthy/11.jpeg
70,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/1.jpeg || datasets/raw/Banana/OriginalSet/healthy/109.jpeg
71,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done14.jpg || datasets/raw/Cotton/fussarium_wilt/fus136.jpg
72,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/40.jpeg || datasets/raw/Banana/OriginalSet/healthy/7.jpeg
73,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h125.jpg || datasets/raw/Cotton/healthy/h130.jpg
74,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl301.jpg || datasets/raw/Cotton/curl_virus/curl381.jpg
75,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl155.jpg || datasets/raw/Cotton/curl_virus/curl214.jpg
76,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/125.jpeg || datasets/raw/Banana/OriginalSet/healthy/31.jpeg
77,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h378.png || datasets/raw/Cotton/healthy/h484.png
78,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/27.jpeg || datasets/raw/Banana/OriginalSet/healthy/57.jpeg
79,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl308.jpg || datasets/raw/Cotton/curl_virus/curl92.jpg
80,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h57.jpg || datasets/raw/Cotton/healthy/h58.jpg
81,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl300.jpg || datasets/raw/Cotton/curl_virus/curl380.jpg
82,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/127.jpeg || datasets/raw/Banana/OriginalSet/healthy/22.jpeg
83,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl115.jpg || datasets/raw/Cotton/curl_virus/curl117.jpg
84,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143753 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143753.jpg
85,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/29.jpeg || datasets/raw/Banana/OriginalSet/healthy/51.jpeg
86,2,1,PlantVillage,Main,raw,Tomato_Late_blight,NO,NO,NO,datasets/raw/PlantVillage/Tomato_Late_blight/5f21282c-e2ef-4c4a-ace1-b5701fe7effc___GHLB2 Leaf 8999.JPG || datasets/raw/PlantVillage/Tomato_Late_blight/e5d707cd-077c-43af-bda9-6138e516ff51___GHLB2 Leaf 8999.JPG
87,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl103.jpg || datasets/raw/Cotton/curl_virus/curl105.jpg
88,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/48.jpeg || datasets/raw/Banana/OriginalSet/healthy/89.jpeg
89,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/123.jpeg || datasets/raw/Banana/OriginalSet/healthy/4.jpeg
90,2,1,Mango,Main,raw,Die Back,NO,NO,NO,datasets/raw/Mango/Die Back/20211129_161616 (Custom)(1).jpg || datasets/raw/Mango/Die Back/20211129_161616 (Custom).jpg
91,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/IMG_20211011_140624 (Custom).jpg || datasets/raw/Mango/Anthracnose/IMG_20211011_140624 - Copy (Custom).jpg
92,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h177.jpg || datasets/raw/Cotton/healthy/h179.jpg
93,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/IMG_20211011_140304 (Custom).jpg || datasets/raw/Mango/Anthracnose/IMG_20211011_140304 - Copy (Custom).jpg
94,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143840 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143840.jpg
95,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h318.jpg || datasets/raw/Cotton/healthy/h321.jpg
96,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/20211011_170709 (Custom).jpg || datasets/raw/Mango/Anthracnose/20211011_170709 - Copy - Copy - Copy (Custom).jpg
97,2,1,PlantDoc,Main,test|train,Potato leaf early blight|Potato leaf late blight,YES,YES,NO,datasets/raw/PlantDoc/test/Potato leaf late blight/Potato leaf late blight (1).jpg || datasets/raw/PlantDoc/train/Potato leaf early blight/Potato leaf early blight (13).jpg
98,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl114.jpg || datasets/raw/Cotton/curl_virus/curl118.jpg
99,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done.jpg || datasets/raw/Cotton/fussarium_wilt/fus9.jpg
100,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h211.jpg || datasets/raw/Cotton/healthy/h212.jpg
101,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/done6.jpg || datasets/raw/Cotton/fussarium_wilt/fus41.jpg
102,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h202.jpg || datasets/raw/Cotton/healthy/h205.jpg
103,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/Figure-2A.png || datasets/raw/Cotton/fussarium_wilt/fus222.png
104,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/32.jpeg || datasets/raw/Banana/OriginalSet/healthy/38.jpeg
105,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h147.jpg || datasets/raw/Cotton/healthy/h155.jpg
106,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/20.jpeg || datasets/raw/Banana/OriginalSet/healthy/59.jpeg
107,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/112.jpeg || datasets/raw/Banana/OriginalSet/healthy/62.jpeg
108,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/IMG_20211011_153557 (Custom).jpg || datasets/raw/Mango/Anthracnose/IMG_20211011_153557 - Copy (Custom).jpg
109,2,1,Rice,Main,raw,Sheath Blight,NO,NO,NO,datasets/raw/Rice/Sheath Blight/IMG_20231006_163218 - Copy.jpg || datasets/raw/Rice/Sheath Blight/IMG_20231006_163218.jpg
110,2,1,PlantVillage,Main,raw,Tomato_healthy,NO,NO,NO,datasets/raw/PlantVillage/Tomato_healthy/488feb1c-4b9f-44e7-8aa6-4103a9601f5f___GH_HL Leaf 434.JPG || datasets/raw/PlantVillage/Tomato_healthy/a5de43e7-fc2f-4a14-a8e6-c0f2f94c84f1___GH_HL Leaf 434.JPG
111,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl309.jpg || datasets/raw/Cotton/curl_virus/curl93.jpg
112,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/15.jpeg || datasets/raw/Banana/OriginalSet/healthy/44.jpeg
113,2,1,Rice,Main,raw,Brown Spot,NO,NO,NO,datasets/raw/Rice/Brown Spot/IMG_20231018_143709 - Copy.jpg || datasets/raw/Rice/Brown Spot/IMG_20231018_143709.jpg
114,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl363.jpg || datasets/raw/Cotton/curl_virus/curl42.jpg
115,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/49.jpeg || datasets/raw/Banana/OriginalSet/healthy/5.jpeg
116,2,1,Rice,Main,raw,Sheath Blight,NO,NO,NO,datasets/raw/Rice/Sheath Blight/IMG_20231006_163217 - Copy.jpg || datasets/raw/Rice/Sheath Blight/IMG_20231006_163217.jpg
117,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/128.jpeg || datasets/raw/Banana/OriginalSet/healthy/21.jpeg
118,2,1,Rice,Main,raw,Healthy Rice Leaf,NO,NO,NO,datasets/raw/Rice/Healthy Rice Leaf/Healthy_rice_leaf (8).jpg || datasets/raw/Rice/Healthy Rice Leaf/Healthy_rice_leaf (9).jpg
119,2,1,Cotton,Main,raw,bacterial_blight,NO,NO,NO,datasets/raw/Cotton/bacterial_blight/bact179.png || datasets/raw/Cotton/bacterial_blight/bact248.png
120,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl126.jpg || datasets/raw/Cotton/curl_virus/curl130.jpg
121,2,1,Rice,Main,raw,Brown Spot,NO,NO,NO,datasets/raw/Rice/Brown Spot/IMG_20231018_143713 - Copy.jpg || datasets/raw/Rice/Brown Spot/IMG_20231018_143713.jpg
122,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/20211011_171141 (Custom).jpg || datasets/raw/Mango/Anthracnose/20211011_171141 - Copy - Copy - Copy (Custom).jpg
123,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl17.jpg || datasets/raw/Cotton/curl_virus/curl267.jpg
124,2,1,Cotton,Main,raw,fussarium_wilt,NO,NO,NO,datasets/raw/Cotton/fussarium_wilt/fus20.jpg || datasets/raw/Cotton/fussarium_wilt/fus24.jpg
125,2,1,Cotton,Main,raw,curl_virus,NO,NO,NO,datasets/raw/Cotton/curl_virus/curl376.jpg || datasets/raw/Cotton/curl_virus/curl57.jpg
126,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/102.jpeg || datasets/raw/Banana/OriginalSet/healthy/39.jpeg
127,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/103.jpeg || datasets/raw/Banana/OriginalSet/healthy/110.jpeg
128,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h152.jpg || datasets/raw/Cotton/healthy/h154.jpg
129,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h334.jpg || datasets/raw/Cotton/healthy/h404.jpg
130,2,1,Cotton,Main,raw,healthy,NO,NO,NO,datasets/raw/Cotton/healthy/h295.jpg || datasets/raw/Cotton/healthy/h302.jpg
131,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/42.jpeg || datasets/raw/Banana/OriginalSet/healthy/6.jpeg
132,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/3.jpeg || datasets/raw/Banana/OriginalSet/healthy/92.jpeg
133,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/0.jpeg || datasets/raw/Banana/OriginalSet/healthy/104.jpeg
134,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/2.jpeg || datasets/raw/Banana/OriginalSet/healthy/34.jpeg
135,2,1,Mango,Main,raw,Die Back,NO,NO,NO,datasets/raw/Mango/Die Back/20211129_161631 (Custom)(1).jpg || datasets/raw/Mango/Die Back/20211129_161631 (Custom).jpg
136,2,1,Banana,Augmented,raw,cordana,NO,NO,NO,datasets/raw/Banana/AugmentedSet/cordana/169_aug.jpeg || datasets/raw/Banana/AugmentedSet/cordana/171_aug.jpeg
137,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143803 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143803.jpg
138,2,1,Mango,Main,raw,Anthracnose,NO,NO,NO,datasets/raw/Mango/Anthracnose/20211011_170708 (Custom).jpg || datasets/raw/Mango/Anthracnose/20211011_170708 - Copy - Copy - Copy (Custom).jpg
139,2,1,Banana,Original,raw,healthy,NO,NO,NO,datasets/raw/Banana/OriginalSet/healthy/23.jpeg || datasets/raw/Banana/OriginalSet/healthy/54.jpeg
140,2,1,Rice,Main,raw,Leaf Blast,NO,NO,NO,datasets/raw/Rice/Leaf Blast/IMG_20231018_143855 - Copy.jpg || datasets/raw/Rice/Leaf Blast/IMG_20231018_143855.jpg
